Destinations,D_Cultural,D_Mountain,D_Nature,D_Rural,D_Beach,D_Urban,A_Beach,A_Boat trips,A_Indigenous tourism,A_Museums and cultural centres,A_National parks and protected areas,A_Rural,A_Theme parks,A_Urban sightseeing,A_Water-based activities,A_Winter activities,GA_Architecture and heritage,GA_Arts,GA_Culture,GA_Excitement,GA_Gastronomy,GA_Nature,GA_Relaxation,GA_Religious tourism,GA_Sports
Alfredo Chaves (ES),2,1,11,1,3,3,2,0,0,0,0,0,0,2,0,1,2,1,1,1,1,6,1,1,2
Alto Paraiso de Goias (GO),7,0,7,0,1,1,0,0,0,0,0,0,0,1,1,0,1,2,2,1,3,6,1,1,1
Anchieta (ES),6,1,15,1,13,1,11,1,0,0,0,0,0,0,4,0,2,1,1,1,3,2,2,1,1
Angra dos Reis (RJ),9,0,16,1,14,3,8,3,0,2,1,0,0,1,8,0,2,1,2,1,1,2,1,2,1
Aparecida (SP),9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,1,1,1,4,1
Aquidauana (MS),23,1,15,1,3,7,1,0,4,2,2,0,0,6,1,1,6,7,2,1,2,12,1,3,1
Aquiraz (CE),8,0,15,1,10,4,3,1,0,1,0,0,0,1,4,0,1,3,1,3,3,5,1,1,3
Aracaju (SE),11,0,10,0,6,2,4,1,0,2,0,0,0,2,2,0,3,4,2,1,1,4,1,1,1
Aracati (CE),10,2,23,4,17,4,13,1,0,1,0,1,0,0,7,0,1,3,2,3,2,6,1,1,2
Armacao de Buzios (RJ),5,0,9,0,8,1,5,1,0,0,0,0,0,1,3,0,2,1,1,1,3,1,1,1,1
Arraial do Cabo (RJ),11,2,16,1,15,4,10,3,0,2,0,0,0,2,7,2,3,2,1,1,1,1,1,4,2
Aruana (GO),7,0,11,0,5,0,2,1,2,0,1,0,0,0,3,0,2,1,1,1,1,6,1,1,1
Bage (RS),7,0,2,1,0,2,0,0,0,2,0,1,0,2,0,0,1,1,1,1,2,2,1,3,1
Balneario Camboriu (SC),0,0,6,0,6,0,2,2,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,1
Balneario Picarras (SC),4,0,11,0,10,0,8,1,0,1,0,0,0,0,5,0,1,1,1,1,1,1,1,2,1
Barcelos (AM),0,0,9,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,6,1,1,1
Barra de Sao Miguel (AL),1,1,17,1,13,1,11,0,0,0,0,0,0,0,5,0,1,1,1,1,1,2,1,1,2
Barreirinhas (MA),4,0,15,2,13,1,10,1,0,0,1,1,0,0,6,0,1,2,1,1,1,2,1,1,1
Beberibe (CE),7,1,10,2,8,3,4,0,0,0,0,1,0,1,3,0,1,1,1,2,4,2,1,1,2
Belem (PA),20,0,10,0,4,3,2,1,0,2,1,0,0,0,3,0,2,8,2,1,4,6,1,3,1
Belo Horizonte (MG),25,3,14,3,4,14,0,0,0,7,1,0,0,8,1,0,8,5,5,1,1,9,1,2,6
Bento Goncalves (RS),9,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,8,2,1,1,1
